q,eps,B_i,mu_i,sig_i,thresh,mean_abs_belief,score,N_i
0.3071,0.35,-0.3662705867900817,1.967914438502674,0.9127952211059623,0.49379487685105233,0.6628232413973838,21.0,187.0
0.4357,0.35,-0.3030220723004641,1.7902439024390244,0.9575896768930251,0.4683789335187336,0.6621931330502498,42.0,205.0
0.5643,0.35,-0.2866641385901022,1.581896551724138,0.8770148366938914,0.44311070772453115,0.6327015831203419,66.0,232.0
0.6929,0.35,-0.3350453922091715,1.362962962962963,0.6788596910332352,0.409633517645344,0.6470713422090743,71.0,270.0
0.8214,0.35,-0.377500872362354,1.218543046357616,0.550665337906951,0.3681008613632963,0.6219413436629357,54.0,302.0
0.95,0.35,-0.6734678115801899,1.036619718309859,0.20226842896919708,0.3145685546363655,0.6120732934348092,100.0,355.0
0.05,0.35,-0.4739466228052534,2.3548387096774195,0.8404448551990744,0.5322168137473082,0.6819397495825753,7.0,155.0
0.1786,0.35,-0.39149227667910547,2.2857142857142856,0.9995562458179541,0.5150945736855667,0.6676691517430768,9.0,161.0
0.3071,0.35,-0.39486503391080796,2.067415730337079,0.896907957010117,0.49379487685105233,0.6615424385714145,17.0,178.0
0.4357,0.35,-0.3404911710868775,1.719626168224299,0.846039619533209,0.4683789335187336,0.6338100422682308,34.0,214.0
0.5643,0.35,-0.330824689978147,1.5269709543568464,0.7678030543548798,0.44311070772453115,0.6212924125621062,67.0,241.0
0.6929,0.35,-0.33489705692205296,1.3643122676579926,0.6797588621469737,0.409633517645344,0.6234897642995706,74.0,269.0
0.8214,0.35,-0.3645570724110859,1.180064308681672,0.5495288795263861,0.3681008613632963,0.6066903529969272,68.0,311.0
0.95,0.35,-0.5157802054067132,1.060693641618497,0.33884124851274383,0.3145685546363655,0.601141767842599,116.0,346.0
0.05,0.35,-0.39137054448427216,2.5594405594405596,1.1195802011854263,0.5322168137473082,0.6609330125642819,5.0,143.0
0.1786,0.35,-0.36403628508793306,2.2392638036809815,1.0440268655795164,0.5150945736855667,0.6833349339422766,14.0,163.0
0.3071,0.35,-0.29125930790900434,2.0164835164835164,1.1067985448847784,0.49379487685105233,0.631295758176369,31.0,182.0
0.4357,0.35,-0.31981878715066636,1.7692307692307692,0.9117899685484383,0.4683789335187336,0.6153573863740383,28.0,208.0
0.5643,0.35,-0.26265408952787117,1.6681818181818182,0.9741599474961927,0.44311070772453115,0.6271410638101433,42.0,220.0
0.6929,0.35,-0.3540456725486191,1.3237410071942446,0.6314973337734803,0.409633517645344,0.6277183786478508,71.0,278.0
0.8214,0.35,-0.38948917734142785,1.239057239057239,0.5444143550547539,0.3681008613632963,0.6192073367898838,91.0,297.0
0.95,0.35,-0.5987123609138881,1.063768115942029,0.2670130076040934,0.3145685546363655,0.6154970660201581,98.0,345.0
0.05,0.35,-0.45480362189703105,2.367741935483871,0.8873254837137649,0.5322168137473082,0.7245756906472381,2.0,155.0
0.1786,0.35,-0.38054135595349103,2.2303030303030305,1.0007527011098676,0.5150945736855667,0.680102757474865,8.0,165.0
0.3071,0.35,-0.26422962321178,1.931578947368421,1.1241617375575303,0.49379487685105233,0.6183479173287101,45.0,190.0
0.4357,0.35,-0.29595721359278365,1.812807881773399,0.9848275073576197,0.4683789335187336,0.6496854517852482,28.0,203.0
0.5643,0.35,-0.3536769968536472,1.4959349593495934,0.7142451099381267,0.44311070772453115,0.6456413452060864,55.0,246.0
0.6929,0.35,-0.2714330395515,1.3992395437262357,0.8018036889080518,0.409633517645344,0.6065536164237862,67.0,263.0
0.8214,0.35,-0.37855717407701645,1.2105263157894737,0.5456958250875715,0.3681008613632963,0.5942611113686246,68.0,304.0
0.95,0.35,-0.5586875614709078,1.0666666666666667,0.3020061745537648,0.3145685546363655,0.6120470021159788,87.0,345.0
0.05,0.35,-0.39614733506692684,2.3986928104575163,1.0374671852818025,0.5322168137473082,0.7105895203096885,0.0,153.0
0.1786,0.35,-0.33684923390132465,2.1845238095238093,1.0836439899949404,0.5150945736855667,0.6935223268796784,18.0,168.0
0.3071,0.35,-0.35350701121676137,2.0444444444444443,0.9765143352319925,0.49379487685105233,0.6396245736653722,16.0,180.0
0.4357,0.35,-0.29823392931136294,1.7902439024390244,0.9677242295272137,0.4683789335187336,0.6209555114406493,46.0,205.0
0.5643,0.35,-0.2690687386103908,1.6283185840707965,0.9378443581411098,0.44311070772453115,0.6023501653621501,26.0,226.0
0.6929,0.35,-0.32897148358319744,1.3381818181818181,0.6756790279121667,0.409633517645344,0.6216514019601841,88.0,275.0
0.8214,0.35,-0.39659943860021724,1.2192691029900333,0.5267850186013108,0.3681008613632963,0.6336411965626307,84.0,301.0
0.95,0.35,-0.494013748591192,1.0730994152046784,0.36343276693431115,0.3145685546363655,0.6115802254536412,99.0,342.0
0.05,0.35,-0.47031059150675847,2.453333333333333,0.8838300490227493,0.5322168137473082,0.684051272452747,7.0,150.0
0.1786,0.35,-0.41013713919505373,2.164705882352941,0.9055003014067697,0.5150945736855667,0.6861645657756757,16.0,170.0
0.3071,0.35,-0.32165568475287437,2.0164835164835164,1.0349670840721983,0.49379487685105233,0.6496395185228616,32.0,182.0
0.4357,0.35,-0.2501762022492611,1.8585858585858586,1.1147323908608577,0.4683789335187336,0.6028116183791468,39.0,198.0
0.5643,0.35,-0.32414656254047175,1.6211453744493391,0.8274436568721688,0.44311070772453115,0.6118687091245779,38.0,227.0
0.6929,0.35,-0.3319715566908185,1.393939393939394,0.6991073936399592,0.409633517645344,0.6202006558835681,56.0,264.0
0.8214,0.35,-0.40945609418109796,1.2039473684210527,0.5044384030712519,0.3681008613632963,0.5984066294048889,71.0,304.0
0.95,0.35,-0.5234394464635166,1.0791788856304985,0.3375874822559099,0.3145685546363655,0.6221512095252443,110.0,341.0
0.05,0.35,-0.42710476126141755,2.358974358974359,0.9469838621856098,0.5322168137473082,0.6930847607957329,8.0,156.0
0.1786,0.35,-0.3631978581720565,2.1904761904761907,1.0232556641402049,0.5150945736855667,0.6585351902040094,11.0,168.0
