q,eps,B_i,mu_i,sig_i,thresh,mean_abs_belief,score,N_i
0.3,0.3071,-0.33040886701683453,1.803921568627451,0.9079087766894295,0.4726044109457928,0.7169190562361584,27.0,204.0
0.3,0.3714,-0.346919505666057,2.010928961748634,0.9750385786861177,0.5150945736855667,0.6425585049162178,30.0,183.0
0.3,0.4357,-0.5201200512858212,2.5205479452054793,0.7957005880250743,0.5236463121950522,0.6693035295710857,22.0,146.0
0.3,0.5,-0.3903232796015761,2.5664335664335662,1.1254179677923832,0.5236463121950522,0.5513388487124219,24.0,143.0
0.3,0.05,-1.0,1.0,0.0,0.3104700874618215,1.9514251921628152,66.0,368.0
0.3,0.1143,-0.55454178296579,1.069767441860465,0.30654479828986203,0.34745381575169815,1.1903705647977376,43.0,344.0
0.3,0.1786,-0.3249800957905102,1.2525597269624573,0.6381248666278405,0.3971386653316105,0.8941058248829735,39.0,293.0
0.3,0.2429,-0.3128107305526304,1.51440329218107,0.7927126643492042,0.4389130421757044,0.7312835343088977,18.0,243.0
0.3,0.3071,-0.3172232472974001,1.7777777777777777,0.9215031245678434,0.4726044109457928,0.7100139264774076,38.0,207.0
0.3,0.3714,-0.33291358403989524,1.947089947089947,0.9744647139234994,0.5150945736855667,0.6189840826973863,39.0,189.0
0.3,0.4357,-0.5250847387956759,2.4466666666666668,0.7618982142575799,0.5236463121950522,0.6110531707026453,27.0,150.0
0.3,0.5,-0.5753873378029146,2.437086092715232,0.6568655142769504,0.5236463121950522,0.531362939097449,14.0,151.0
0.3,0.05,-1.0,1.0,0.0,0.3104700874618215,2.1349020064227506,99.0,368.0
0.3,0.1143,-0.5354243681887507,1.0605187319884726,0.3208827280385085,0.34745381575169815,1.2427446345482067,62.0,347.0
0.3,0.1786,-0.307455132444571,1.2307692307692308,0.651925173386789,0.3971386653316105,0.9295618585286001,27.0,299.0
0.3,0.2429,-0.3200185317224879,1.4431372549019608,0.7434036461849591,0.4389130421757044,0.7767529436430499,18.0,255.0
0.3,0.3071,-0.3198187871506664,1.7864077669902914,0.9206422983401708,0.4726044109457928,0.6858468403925706,23.0,206.0
0.3,0.3714,-0.40686741536573684,1.9162303664921465,0.8078790208789342,0.5150945736855667,0.6462394438431476,20.0,191.0
